page_key,category,title,text
https://munchkindb.ru/FAQ_Curses,faq,FAQ Проклятия,"Сколько Проклятий (Ловушек, Безумств) я могу наложить за один ход? А на одного игрока? 
Вы можете сыграть столько Проклятий, сколько есть у вас в руке. Но и все остальные могут поступить также... 
 
Если Проклятье/Ловушка может быть наложено на несколько шмоток, то на какую оно падает? 
Зависит от того, что написано на карте. Если там написано «Выбери и сбрось одну маленькую шмотку» а не что-то типа «Выбери и сбрось одну маленькую шмотку у Феди, ха-ха», то выбирает жертва. На некоторых картах уточняется, кто (например, игрок справа) и как (например, случайно) делает выбор. 
 
Если в Проклятии говорится ""Теряешь Броник"", а у меня есть неиспользуемый Броник, могу я потерять его? 
Это зависит от формулировки Проклятия. Если сказано ""Теряешь надетый Броник"", это будут Броники, которые ты используешь. Если сказано ""Теряешь один Броник"", тогда ты должне сбросить один любой Броник из всех, что у тебя есть в игре. Если сказано ""Теряешь Броник"", то ты должне сбросить все свои броники, какие есть в игре. (И, как говорится ниже, зачитенный Броник не перестает быть Броником!) 
 
Я Открыл Дверь и на меня обрушилось проклятье, заставляющее скинуть шмотку. Могу ли я вместо этого продать шмотку за уровень?
Не-а. Проклятье уже обрушилось. Вы не можете остановить его посередине или попытаться сделать что-то еще. В Манчкине события происходят в том порядке, в котором они происходят. Некоторые карты являются исключениями (Хотельное Кольцо), но это исключение написано на самой карте. 
 
Я собираюсь кидать кубик на смывку. Могу ли я сыграть проклятья на других манчкинов до броска? А после?
В принципе, проклятья играются в любое время, но иногда приходится кидать кубик перед тем, как что-то сделать. То есть, да, вы можете сыграть проклятья перед броском, но не между броском и Непотребством/Смывкой. 
 
Что происходит, когда я умираю? Проклятья сохраняются?
Некоторые сохраняются. Например Маленькие Ручки, Большие Ноги, Смена Пола, Курица на башне и т.д. От большинства из этих проклятий можно избавиться Хотельным Кольцом или при некотором удачном стечении обстоятельств (смерть не является таковым)). Помните, ваш новый персонаж выглядит также, как и предыдущий. Если вы поменяли пол, то у вас он все еще изменен (но вы, скорее всего, умерли в бою, так что штрафа -5 нет), у вас по прежнему маленькие ручки или большие ножки, и, если на момент смерти на вас не было Головняка, то эта долбанная курица вновь оседлала вашу голову. Так отстойно быть проклятым, но, да, вы уже в курсе... 
 
Если в бой играется карта, на которой сказано «действует в следующем бою» (напр. Смена Пола), то эффект карты действует на ТЕКУЩИЙ бой или на следующий? 
Если бой еще не закончен (а это, очевидно, так, раз люди играют на вас карты), то эффект карты действует на текущий бой. (Об этом явно написано в правилах начиная с версии 1.5, так что теперь никакой путаницы, правда?)"
https://munchkindb.ru/FAQ_Items,faq,FAQ Шмотки,"Если я теряю шмотки, то я могу сбросить их с руки или только со стола?
Всегда, всегда только со стола. Если карта в рука - она не считается несомой Шмоткой. Если надо будет сбросить карты с руки - это будет явно указано.
Если я вор и тырю шмотку у другого игрока, можно ли считать, что он отдает мне эту шмотку?
Нет, манчкин. Дарение - процесс добровольный. Ключевая разница в том, что даритель сам выбирает, что дарить.
А что, если карта заставляет игрока отдать мне шмотку?
Отдать - значит отдать. И не важно, почему игрок это делает.
Могу ли я продать Шмотки на сумму меньше, чем 1000 Голдов? Ну, скажем, что бы просто избавится от них...
Нет. Если Шмоток на 1000 Голдов не набирается, продавать их нельзя.
Допустим, у меня набирается Шмоток на 1000 Годов, могу ли я докинуть туда Шмотки ""без цены""?
Безусловно. ""Нет цены"" означает тоже самое, что и ""0 голдов"", т.о. вы можете продавать эти Шмотки, если на карте не сказано обратного. (Но на карте должно быть написано ""нет цены""! Если цена не указана - продавать такую карту нельзя)"
https://munchkindb.ru/content/FAQ_Class-Race,faq,"FAQ Класс, Раса, Подданство, Акцент и т.п.","Можно ли сменить текущий Класс на такой же (например, что бы избежать «благотворительности»)?
Класс можно сбросить в любое время. Сыграть Класс можно в любой момент своего хода. Нет специального требования, что бы новый класс отличался от предыдущего. Так что – да.
 
У меня только один Класс и я его меняю. Теряю ли я при этом Шмотки, на которых сказано «если вы теряете Класс, сбросьте карту»?
Если вы играете карту нового Класса сразу после сброса старого, то нет. Смена Класса состоит из двух фаз – сброс старого Класса, игра нового Класса – и ничто не может вклиниться между двумя этими событиями.
 
Можно ли держать карту Класса или Расы на столе «тапнутыми» (повернутыми), что бы использовать их позже?
Нет. Единственный тип карт, который может лежать на столе и не использоваться – Шмотки (хотя и там есть свои ограничения, например, ограничение по большим Шмоткам и т.д.)
 
Складываются ли бонусы, которые получают монстры против Классов/Рас? Например, если у монстра есть бонус +4 против Дварфов и +4 против Эльфов, а я полудварф/полуэльф, то против меня у этого монстра будет +8
Если об этом не сказано на самой карте, то бонусы складываются. То есть да, против вас будет +8. (Честное предупреждение: раньше мы говорили другое, но теперь официально правильным считается именно ЭТО)
 
Если во время боя кто-то меняет мои Расу или Класс (например, Проклятьем) это меняет мои бонусы?
Да. Если вы перестали быть Эльфом, то не можете получать бонусы от предметов «только для Эльфов» и т.д. Вы никогда не сможете получить выгоду от двух Рас или Классов в одном бою, если у вас нет карты, позволяющей это сделать. Исключением являются бонусы, получаемые за счет сброса карт. Если Воин уже сбросил карту, что бы получить бонус +1, после чего перестал быть Воином – он сохраняет это бонус (но больше не может сбрасывать карты, что бы получить еще бонусы от способностей Воина). Да, это правило можно обернуть в свою пользу, хе-хе."
https://munchkindb.ru/content/FAQ_Monsters,faq,FAQ Монстры,"Некоторые карты позволяют автоматически побеждать монстров определенного типа (например Snickersnee для Scary Clowns или Churninator для монстров первого уровня). Кто-то может помешать этому? Может ли кто-то сыграть Бродячую Тварь?
Да. Хоть победа у вас и автоматическая, но вы по-прежнему должны дать вашим коллегам 2,6 секунды, что бы они смогли вам ответить. Поверженному монстру они, скорее всего, уже не помогут, но вполне могут сыграть Бродячую Тварь. (Но если у монстра была способность «приведи друга», как у -гот или Мышей, то она не сработает, ибо монстра уже нет)
Правило «2.6 секунды» действует в случае победы над монстром без убийства, или только с убийством?
При любом виде победы. Если вы победили без убийства, то у других игроков есть 2,6 секунды чтобы сыграть подходящую карту и помешать вам. Но если вы удалили монстра из боя (например, Волшебной Лампой), то они не могут играть модификаторы монстров или карты сходного типа, действующие именно на монстра, так как в бою никого нет, равно как они не могут использовать любые спец. правила для привлечения монстров в бой, которые зависят от наличия монстров в бою (такие, как, например, правило акулы из Munchkin Booty). Зато они могут сыграть Бродячую Тварь.
 
Если игрок встречает монстра, который не преследует его, игрок получает сокровища?
Не-не-не. Игрок может вступить в бой с монстром, но если он не может его победить, он ОБЯЗАН смываться. Если монстр не преследует его, он не подвергает его Непотребству. Но игрок не получает сокровища!
 
А обязательно убивать монстра? Если я побеждаю, могу я выбрать Смывку?
Вы не можете Смыться, если вы побеждаете монстра тем, что есть в игре. Однако вы не обязаны играть одноразовые шмотки, отрицательные модификаторы и пр. Т.е. не ослабляйте монстра (может, придется даже усилить его) и тогда уже можно будет выбрать Смывку.
 
Я обязательно должен смываться? А если я ХОЧУ умереть?
Ваш персонаж не хочет умирать. Он всегда пытается Смыться. Если вы хотите умереть(потерпеть Непотребство), надейтесь на неудачный бросок кубика."
https://munchkindb.ru/content/faq-%D0%BF%D0%BE-%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B%D0%BC-%D1%88%D0%BC%D0%BE%D1%82%D0%BA%D0%B0%D0%BC,faq,FAQ по разовым шмоткам,"В бою я использую одноразовую Шмотку, а кто-то Проклятьем или Воровством пытается от нее избавиться. Бонус остается?
Воровать во время боя нельзя. Проклятьем можно уничтожить вашу шмотку, но если вы уже сыграли ее в бой, то она уже не ваша, и проклясть ее нельзя.
В какой момент карты из игры идут в сброс? Например, во время боя я использую одноразовую шмотку – ее надо сразу сбросить или как?
Одноразовые карты не идут в сброс до конца боя.
Все шмотки, на которых написано «одноразовая», работают как Зелья?
Все одноразовые шмотки (на которых написано «использовать один раз») могут играться прямо с руки, если не сказано обратного (и на данный момент исключений нет)."
https://munchkindb.ru/welcome,page,Добро пожаловать!,"Приветствую Вас на сайте, посвященном картам игры Манчкин.
Этот сайт представляет собой базу карт. Основная задача этой базы – сбор подтвержденной информации об особенностях карт, их изменениях и правилах использования. В этой базе Вы не найдете сканы и тексты карт, так как это противоречит online policy Steve Jackson Games. Тут будет только информация об использовании карт, ориентированная на тех, у кого эти карты есть.
 
Каждый зарегистрированный пользователь может редактировать содержимое базы, подобный принцип используется в Википедии.
 
Все карты распределены по своим сетам и сетингам. Некоторые карты могут входить сразу в несколько сетов (например Бродячая Тварь или Читерский Кубик), такие карты имеют одну страницу, но включены во все нужные сеты. При просмотре каждого сета эта карта будет в списке.
 
У каждой карты есть обязательное оригинальное английское название, которое является ее основным идентификатором (но могут быть и разные карты с одинаковыми названиями), кроме того у карты есть одно официальное локализованное название и любое количество альтернативных названий, используемые в устаревших и любительских переводах. Если название карты в официальной локализации изменилось, старое название попадет в альтернативные.
 
Проклятия и Ловушки объединены в одно понятие, из названий убрано слово “Curse!” и “Trap!”. Таким картам присвоен тег «Проклятие!». Таким образом «Проклятие! Смена Пола» и «Ловушка! Смена Пола» будут одной картой с названием «Смена Пола». Однако проклятие «ПОЛомка СЕКСтанта» будет иметь свое уникальное название, для правильного отображения в списке Пиратского сета. В описании такой карты следует указать ссылку на карту «Смена Пола» (где и будут все данные по этому проклятию), и никакой другой информации не вводить. Намёмники, Напарники, Бугаи и т.п. тоже объединены единым тегом «Наёмник». Слово “GUAL” в названиях карт также не используется.
 
Вся информация о карте делится на несколько разделов:
- Названия, сеты и теги
- Errata (eng) – раздел для официальной эрраты с официального сайта
- Errata (рус) – раздел для неофициальной эрраты по локализациям, создание этой эрраты является одной из задач сайта.
- FAQ  - ответы из официального FAQ.
- Изменения весны 2010 – изменения связанные с 19 тиражом базового сета.
- Особенности применения – основной раздел карты, будет содержать ответы с официального форума, не вошедшие в FAQ.
- Интересные факты – любая интересная информация о карте, объяснение происхождения названия, история карты, разъяснения того, что невозможно адекватно и коротко перевести на русский язык.
 
Каждой карте может быть присвоено любое количество тегов. Например: Шмотка, 2 Руки, Большая, Огненный урон и т.п. Теги используются для объединения карт в группы по какому-либо признаку.
Для удобства оформления повторяющийся информации введено понятие «рулинг». Рулинги – правила, которые редактируются независимо от карт. Рулинг прикрепляется к тегу или конкретным картам с указанием раздела, в котором этот текст будет отображен.
 
Правила, которые следует соблюдать при редактировании карт.
- Следует вносить только достоверную информацию, взятую с официального сайта. Каждое утверждение должно быть подтверждено ссылкой на официальный сайт, форум или правила. Ссылку следует оформлять словом [пруф].
- Если в разделе нет никакой информации, он не будет отображаться на странице карты.
- Теги вводятся через запятую. При вводе автоматически предлагается выбор из существующих тегов. После запятой автоматическая подстановка также действует. Если ввести новый тег, он автоматически добавится в базу.
- При выборе сета карты можно пользоваться Ctrl для выделения нескольких сетов.
- В разделе Errata (eng) должна быть информация только из официальной эрраты, находящейся на официальном сайте. Ошибки, которые не указаны в эррате, следует указывать в разделе «Особенности применения»
- В разделе Errata (рус) следует собирать информацию об ошибках русских официальных изданий, по возможности указывать номер тиража. Вся информация будет собираться в сводную эррату русских изданий.
- В разделе FAQ должна быть информация только из официального FAQ, находящегося на официальном сайте. Может содержать рулинг.
- Изменения весны 2010 должны содержать только информацию, содержащуюся в списке 2010 Munchkin Change Log. Может содержать рулинг.
- Особенности применения могут содержать различную информацию. Может содержать рулинг.
- Интересные факты не имеют жестких ограничений и не требуют пруфов.
- Информацию, подходящую для нескольких карт, следует оформить как рулинг и подключить к этим картам по названиям или по тегу. Рулинг создается в панели Навигация -> Добавить содержимое -> Рулинг."
